Sun Mar 15 16:19:44 2015,v1large,v2large,diff_large(FRA),,v1small,v2small,diffsmall(FRA),,Sun Mar 15 01:40:33 2015,largev1,largev2,diff_large(ASIA),,small_v1,small_v2,diff_small(ASIA),,,large_v1,large_v2,difflarge(LOC),,Small_v1,Small_v2,diff_small(LOC),,largev1(CA),largev2(CA),difflargeCA,,smallv1CA,smallv2CA,diff
number_of_requests,mean_request,mean_request,,,mean_request,mean_request,,,number_of_requests,mean_request,mean_request,,,mean_request,mean_request,,,number_of_requests,mean_request,mean_request,,,mean_request,mean_request,,,mean_request,mean_request,,,mean_request,mean_request,
213,18.741,19.539,-0.798,,18.654,16.848,1.806,,213,293.059,290.376,2.683,,292.94,289.878,3.062,,213,71.886,62.375,9.511,,58.362,50.851,7.511,,154.268,148.149,6.119,,147.236,147.934,-0.698
215,20.607,18.315,2.292,,19.583,17.264,2.319,,215,293.107,289.902,3.205,,292.991,289.826,3.165,,215,74.416,62.906,11.51,,54.342,51.137,3.205,,154.73,148.539,6.191,,147.036,147.778,-0.742
217,20.925,16.353,4.572,,19.14,15.487,3.653,,217,293.044,295.21,-2.166,,292.972,289.732,3.24,,217,56.027,63.215,-7.188,,67.973,58.203,9.77,,154.537,148.346,6.191,,147.283,147.668,-0.385
219,19.878,21.612,-1.734,,20.955,16.885,4.07,,219,292.954,290.006,2.948,,293.28,289.875,3.405,,219,73.627,57.509,16.118,,69.474,60.902,8.572,,153.87,148.514,5.356,,147.076,147.748,-0.672
221,20.519,16.531,3.988,,21.703,16.045,5.658,,221,293.137,289.789,3.348,,293.101,289.686,3.415,,221,70.222,52.114,18.108,,71.549,61.359,10.19,,153.985,148.442,5.543,,147.489,147.956,-0.467
223,21.915,19.821,2.094,,18.622,15.981,2.641,,223,293.003,290.027,2.976,,293.031,289.855,3.176,,223,77.141,51.756,25.385,,69.283,61.986,7.297,,154,148.308,5.692,,147.253,147.819,-0.566
225,25.741,17.069,8.672,,22.265,17.744,4.521,,225,293.357,290.004,3.353,,292.846,289.695,3.151,,225,79.19,62.363,16.827,,61.406,62.441,-1.035,,153.97,148.341,5.629,,147.066,147.825,-0.759
227,20.556,18.535,2.021,,21.249,18.053,3.196,,227,293.077,290.003,3.074,,293.011,289.753,3.258,,227,79.424,66.217,13.207,,57.371,61.474,-4.103,,153.836,148.479,5.357,,147.07,147.937,-0.867
229,24.182,18.312,5.87,,24.713,19.04,5.673,,229,293.193,289.982,3.211,,292.969,289.756,3.213,,229,79.526,67.06,12.466,,59.218,60.565,-1.347,,154.277,148.341,5.936,,147.21,148.058,-0.848
231,22.238,19.16,3.078,,22.994,18.691,4.303,,231,293.094,289.91,3.184,,292.937,289.775,3.162,,231,71.967,67.841,4.126,,66.675,54.424,12.251,,154.064,148.523,5.541,,147.371,149.251,-1.88
233,21.061,19.038,2.023,,22.213,17.013,5.2,,233,293.099,289.928,3.171,,293.159,293.102,0.057,,233,74.228,69.236,4.992,,73.056,61.541,11.515,,153.971,148.314,5.657,,147.249,148.8,-1.551
235,23.061,20.183,2.878,,25.649,16.864,8.785,,235,292.999,289.884,3.115,,292.909,289.924,2.985,,235,77.238,47.515,29.723,,73.957,64.529,9.428,,153.871,148.307,5.564,,147.131,148.253,-1.122
237,29.055,18.989,10.066,,20.941,19.004,1.937,,237,293.09,266.413,26.677,,293.061,289.842,3.219,,237,74.368,67.239,7.129,,75.144,65.99,9.154,,153.88,148.35,5.53,,147.236,148.138,-0.902
239,35.567,19.316,16.251,,25.782,17.89,7.892,,239,293.032,266.31,26.722,,293.123,289.792,3.331,,239,83.17,60.184,22.986,,68.642,67.505,1.137,,153.999,148.246,5.753,,147.102,148.123,-1.021
241,32.786,20.334,12.452,,27.8,19.297,8.503,,241,293.132,276.917,16.215,,288.25,289.853,-1.603,,241,83.369,72.827,10.542,,53.313,63.78,-10.467,,154.113,148.461,5.652,,147.218,148.744,-1.526
243,24.08,20.561,3.519,,23.663,18.754,4.909,,243,292.921,266.371,26.55,,281.309,281.096,0.213,,243,83.398,71.341,12.057,,69.061,57.288,11.773,,153.948,148.344,5.604,,147.138,148.386,-1.248
245,19.546,18.338,1.208,,28.739,19.935,8.804,,245,293.072,266.022,27.05,,281.377,281.064,0.313,,245,83.447,73.951,9.496,,79.785,60.645,19.14,,153.912,148.968,4.944,,147.254,148.927,-1.673
247,27.619,22.736,4.883,,22.546,22.021,0.525,,247,292.926,266.268,26.658,,281.247,281.262,-0.015,,247,79.031,69.785,9.246,,78.11,61.406,16.704,,153.969,149.386,4.583,,147.176,150.117,-2.941
249,29.838,18.295,11.543,,35.535,19.02,16.515,,249,293.239,266.25,26.989,,281.184,281.236,-0.052,,249,80.689,64.64,16.049,,75.909,66.365,9.544,,154.04,149.501,4.539,,147,149.855,-2.855
251,32.601,18.086,14.515,,27.836,19.885,7.951,,251,293.058,280.993,12.065,,281.29,291.914,-10.624,,251,72.814,64.104,8.71,,79.837,71.791,8.046,,153.894,149.582,4.312,,147.108,150.108,-3
253,30.215,20.131,10.084,,27.364,24.131,3.233,,253,293.102,266.197,26.905,,281.254,287.174,-5.92,,253,87.848,64.411,23.437,,73.56,70.106,3.454,,153.869,149.523,4.346,,147.148,150.216,-3.068
255,35.21,20.638,14.572,,33.921,22.037,11.884,,255,293.026,266.263,26.763,,281.324,281.285,0.039,,255,90.35,72.023,18.327,,62.63,71.664,-9.034,,153.76,149.623,4.137,,147.021,149.849,-2.828
257,38.21,19.94,18.27,,27.813,19.829,7.984,,257,292.953,266.368,26.585,,281.574,281.445,0.129,,257,88.902,76.244,12.658,,75.762,71.583,4.179,,153.815,149.42,4.395,,147.111,148.481,-1.37
259,30.238,23.489,6.749,,30.696,18.747,11.949,,259,293.37,268.029,25.341,,325.634,281.083,44.551,,259,89.705,77.152,12.553,,82.758,64.234,18.524,,153.866,149.589,4.277,,147.105,148.467,-1.362
261,38.82,25.911,12.909,,28.754,21.955,6.799,,261,293.14,281.076,12.064,,282.181,281.219,0.962,,261,64.498,77.808,-13.31,,79.159,69.882,9.277,,154.004,149.638,4.366,,147.219,148.414,-1.195
263,31.363,27.56,3.803,,34.723,20.428,14.295,,263,293.087,281.123,11.964,,281.299,281.142,0.157,,263,80.899,59.393,21.506,,82.763,64.41,18.353,,154.041,149.788,4.253,,146.771,149.374,-2.603
265,40.965,22.956,18.009,,37.403,21.005,16.398,,265,292.937,281.302,11.635,,281.284,282.811,-1.527,,265,91.318,60.418,30.9,,80.024,71.176,8.848,,153.952,149.697,4.255,,147.323,148.188,-0.865
267,36.954,25.45,11.504,,37.377,22.238,15.139,,267,293.196,281.194,12.002,,281.286,290.996,-9.71,,267,91.662,64.695,26.967,,68.224,75.211,-6.987,,153.823,149.751,4.072,,147.098,148.686,-1.588
269,33.837,22.341,11.496,,33.652,23.715,9.937,,269,292.974,289.093,3.881,,281.31,297.066,-15.756,,269,92.112,79.059,13.053,,65.466,70.885,-5.419,,153.842,149.52,4.322,,149.835,148.775,1.06
271,26.695,21.139,5.556,,33.161,22.478,10.683,,271,293.006,281.377,11.629,,281.191,294.412,-13.221,,271,90.153,76.002,14.151,,76.593,74.9,1.693,,154.001,149.799,4.202,,147.553,149.319,-1.766
273,35.227,21.894,13.333,,35.595,20.321,15.274,,273,293.094,281.392,11.702,,281.395,295.729,-14.334,,273,68.681,82.199,-13.518,,87.17,72.878,14.292,,187.623,149.748,37.875,,147.569,149.402,-1.833
275,34.637,28.661,5.976,,30.918,21.36,9.558,,275,293.089,281.139,11.95,,281.243,291.071,-9.828,,275,78.669,81.719,-3.05,,84.293,73.988,10.305,,154.677,149.722,4.955,,147.67,149.888,-2.218
277,39.047,25.469,13.578,,40.301,26.184,14.117,,277,293.122,281.355,11.767,,281.567,292.438,-10.871,,277,94.476,68.86,25.616,,85.422,64.684,20.738,,154.81,149.681,5.129,,147.545,148.757,-1.212
279,40.659,28.282,12.377,,37.032,25.044,11.988,,279,292.977,281.091,11.886,,281.204,290.733,-9.529,,279,96.51,78.261,18.249,,76.741,71.125,5.616,,154.732,149.689,5.043,,147.754,149.178,-1.424
281,44.003,28.717,15.286,,36.224,27.225,8.999,,281,293.115,281.165,11.95,,281.259,315.432,-34.173,,281,96.512,74.781,21.731,,75.226,75.134,0.092,,154.712,149.579,5.133,,148.272,149.109,-0.837
283,34.692,28.04,6.652,,36.877,25.428,11.449,,283,293.041,281.08,11.961,,281.57,290.422,-8.852,,283,93.375,80.212,13.163,,91.111,75.01,16.101,,154.813,149.668,5.145,,147.65,149.44,-1.79
285,38.53,27.452,11.078,,37.525,28.243,9.282,,285,293.037,281.266,11.771,,281.255,306.48,-25.225,,285,72.118,80.122,-8.004,,86.635,75.739,10.896,,154.723,150.265,4.458,,147.704,148.915,-1.211
287,39.316,28.44,10.876,,34.61,26.16,8.45,,287,293.018,281.122,11.896,,281.302,290.43,-9.128,,287,76.811,77.942,-1.131,,88.194,64.061,24.133,,154.733,150.57,4.163,,147.722,148.366,-0.644
289,47.534,22.598,24.936,,36.987,27.6,9.387,,289,293.08,281.136,11.944,,281.258,291.68,-10.422,,289,96.424,78.374,18.05,,87.595,74.479,13.116,,154.655,150.457,4.198,,147.639,148.088,-0.449
291,48.518,31.656,16.862,,37.217,27.133,10.084,,291,293.104,294.348,-1.244,,281.199,291.124,-9.925,,291,99.451,66.432,33.019,,79.115,65.625,13.49,,154.675,150.523,4.152,,147.592,148.088,-0.496
293,42.161,27.3,14.861,,42.354,29.833,12.521,,293,293.029,288.083,4.946,,349.014,290.418,58.596,,293,95.929,69.578,26.351,,82.161,77.581,4.58,,154.855,150.489,4.366,,147.658,148.154,-0.496
295,42.681,26.491,16.19,,44.42,26.682,17.738,,295,293.052,281.351,11.701,,281.296,290.542,-9.246,,295,82.877,74.561,8.316,,76.539,75.367,1.172,,154.621,150.58,4.041,,148.139,147.817,0.322
297,49.862,29.129,20.733,,38.044,24.233,13.811,,297,293.054,281.39,11.664,,281.327,290.378,-9.051,,297,88.781,74.225,14.556,,88.883,74.876,14.007,,154.326,150.57,3.756,,147.771,147.98,-0.209
299,41.218,26.985,14.233,,40.269,28.477,11.792,,299,293.061,296.69,-3.629,,281.291,290.621,-9.33,,299,93.121,75.058,18.063,,86.093,70.058,16.035,,152.478,150.524,1.954,,147.649,148.309,-0.66
301,36.264,27.224,9.04,,31.612,26.854,4.758,,301,293.075,281.459,11.616,,281.13,290.215,-9.085,,301,97.116,77.263,19.853,,87.536,60.508,27.028,,153.726,150.376,3.35,,147.708,148.148,-0.44
303,39.007,27.073,11.934,,34.342,28.771,5.571,,303,293.048,282.742,10.306,,281.452,298.497,-17.045,,303,95.613,76.848,18.765,,77.356,74.675,2.681,,153.859,149.063,4.796,,147.643,147.813,-0.17
305,53.686,33.838,19.848,,38.318,25.718,12.6,,305,292.985,281.645,11.34,,281.335,290.599,-9.264,,305,93.892,75.553,18.339,,68.717,71.081,-2.364,,153.777,147.683,6.094,,168.908,147.917,20.991
307,47.271,29.04,18.231,,46.67,27.027,19.643,,307,293.073,281.084,11.989,,281.366,291.272,-9.906,,307,84.327,74.696,9.631,,81.849,71.77,10.079,,153.953,147.396,6.557,,147.88,149.253,-1.373
309,50.423,33.972,16.451,,46.414,33.091,13.323,,309,293.035,281.792,11.243,,281.268,292.489,-11.221,,309,88.055,78.346,9.709,,84.585,74.429,10.156,,153.907,147.82,6.087,,147.683,148.55,-0.867
311,58.385,35.047,23.338,,42.481,34.285,8.196,,311,293.046,300.49,-7.444,,281.437,290.524,-9.087,,311,94.671,74.885,19.786,,86.661,75.102,11.559,,153.778,147.32,6.458,,147.648,152.479,-4.831
313,57.111,31.834,25.277,,36.795,35.274,1.521,,313,293.165,281.61,11.555,,281.34,291.041,-9.701,,313,96.428,74.862,21.566,,84.695,61.898,22.797,,153.795,147.401,6.394,,147.854,149.844,-1.99
315,51.946,37.401,14.545,,43.45,31.585,11.865,,315,293.111,293.257,-0.146,,281.292,291.27,-9.978,,315,98.484,69.726,28.758,,81.294,57.929,23.365,,154.094,147.358,6.736,,147.696,149.762,-2.066
317,59.244,33.952,25.292,,42.217,33.555,8.662,,317,293.019,290.952,2.067,,281.146,290.201,-9.055,,317,92.75,67.715,25.035,,72.321,68.407,3.914,,153.71,147.418,6.292,,147.811,151.517,-3.706
319,58.537,30.536,28.001,,38.165,28.352,9.813,,319,292.984,288.701,4.283,,281.291,290.997,-9.706,,319,83.529,62.355,21.174,,81.785,70.313,11.472,,153.983,147.433,6.55,,147.913,150.447,-2.534
321,53.077,37.513,15.564,,50.668,37.479,13.189,,321,343.835,284.02,59.815,,281.342,290.175,-8.833,,321,92.734,71.835,20.899,,88.727,68.604,20.123,,153.476,147.349,6.127,,156.39,149.448,6.942
323,56.153,36.737,19.416,,48.561,34.08,14.481,,323,292.994,283.964,9.03,,299.586,292.967,6.619,,323,95.174,83.1,12.074,,83.396,66.711,16.685,,153.746,147.413,6.333,,148.412,149.006,-0.594
325,61.773,33.59,28.183,,36.961,33.605,3.356,,325,293.043,283.942,9.101,,281.37,294.128,-12.758,,325,88.939,73.548,15.391,,83.849,56.781,27.068,,153.708,147.54,6.168,,147.919,155.367,-7.448
327,58.835,33.665,25.17,,43.087,35.371,7.716,,327,290.728,284.03,6.698,,281.241,293.25,-12.009,,327,95.596,65.766,29.83,,66.904,56.888,10.016,,153.915,147.496,6.419,,147.704,148.394,-0.69
329,63.141,33.506,29.635,,49.435,27.12,22.315,,329,281.412,284.015,-2.603,,281.348,294.891,-13.543,,329,89.58,67.367,22.213,,72.283,71.63,0.653,,153.865,147.625,6.24,,148.565,148.22,0.345
331,48.257,31.52,16.737,,45.967,31.128,14.839,,331,281.437,283.803,-2.366,,281.849,292.477,-10.628,,331,83.896,68.944,14.952,,88.154,73.949,14.205,,153.221,147.73,5.491,,147.923,147.557,0.366
333,55.432,36.353,19.079,,49.933,28.468,21.465,,333,281.463,283.912,-2.449,,281.261,307.986,-26.725,,333,96.51,77.536,18.974,,84.187,77.295,6.892,,184.638,147.669,36.969,,147.662,147.849,-0.187
335,52.173,37.142,15.031,,50.653,32.596,18.057,,335,281.438,283.95,-2.512,,281.273,294.267,-12.994,,335,93.746,77.934,15.812,,81.736,69.403,12.333,,153.17,147.34,5.83,,147.775,147.925,-0.15
337,57.957,45.442,12.515,,47.072,38.132,8.94,,337,281.394,283.94,-2.546,,281.261,294.555,-13.294,,337,92.761,72.146,20.615,,73.891,72.264,1.627,,158.433,147.5,10.933,,147.827,148.078,-0.251
339,67.44,40.964,26.476,,56.43,35.344,21.086,,339,345.549,284.195,61.354,,281.281,293.742,-12.461,,339,90.957,75.379,15.578,,78.114,68.724,9.39,,153.448,147.431,6.017,,150.909,148.12,2.789
341,59.401,35.25,24.151,,54.213,45.597,8.616,,341,281.373,305.629,-24.256,,281.35,291.191,-9.841,,341,87.885,73.499,14.386,,83.172,73.742,9.43,,153.102,147.345,5.757,,152.985,148.392,4.593
343,58.407,34.318,24.089,,48.985,40.868,8.117,,343,281.422,284.214,-2.792,,281.299,296.499,-15.2,,343,90.641,78.36,12.281,,84.343,74.773,9.57,,158.064,147.422,10.642,,158.862,148.717,10.145
345,61.082,36.176,24.906,,48.949,37.971,10.978,,345,281.405,284.037,-2.632,,281.323,294.482,-13.159,,345,89.792,77.861,11.931,,86.376,67.782,18.594,,153.626,147.406,6.22,,147.974,148.409,-0.435
347,69.077,41.271,27.806,,52.41,41.262,11.148,,347,281.538,283.993,-2.455,,281.353,305.756,-24.403,,347,88.859,75.387,13.472,,82.814,72.076,10.738,,155.555,147.437,8.118,,150.9,148.185,2.715
349,58.329,39.688,18.641,,48.571,35.738,12.833,,349,281.437,284.008,-2.571,,281.325,291.7,-10.375,,349,80.134,82.555,-2.421,,63.921,68.877,-4.956,,159.677,147.43,12.247,,147.897,148.393,-0.496
351,58.48,36.547,21.933,,49.587,35.01,14.577,,351,281.367,283.827,-2.46,,281.256,294.9,-13.644,,351,92.645,72.445,20.2,,77.995,75.693,2.302,,159.009,147.455,11.554,,147.811,148.083,-0.272
353,66.202,42.737,23.465,,48.928,50.534,-1.606,,353,325.754,308.512,17.242,,281.32,291.877,-10.557,,353,93.003,76.2,16.803,,77.315,73.799,3.516,,157.016,147.483,9.533,,160.47,148.946,11.524
355,56.83,38.546,18.284,,56.371,38.121,18.25,,355,281.465,284.062,-2.597,,281.324,294.308,-12.984,,355,90.282,76.576,13.706,,77.69,72.814,4.876,,153.14,147.71,5.43,,148.054,148.957,-0.903
357,69.722,35.085,34.637,,54.183,38.062,16.121,,357,281.382,330.243,-48.861,,281.403,291.796,-10.393,,357,85.52,75.248,10.272,,70.467,72.154,-1.687,,153.029,147.647,5.382,,151.686,148.131,3.555
359,71.439,37.965,33.474,,52.83,34.073,18.757,,359,281.36,327.823,-46.463,,281.316,297.751,-16.435,,359,82.317,77.246,5.071,,80.896,68.383,12.513,,153.138,148.424,4.714,,154.413,148.795,5.618
361,72.922,41.454,31.468,,57.529,35.971,21.558,,361,281.442,284.03,-2.588,,281.314,296.248,-14.934,,361,87.74,67.63,20.11,,81.744,67.093,14.651,,170.181,147.917,22.264,,147.975,149.798,-1.823
363,72.603,43.776,28.827,,55.902,41.186,14.716,,363,281.439,283.959,-2.52,,281.511,297.104,-15.593,,363,95.999,68.959,27.04,,85.644,70.981,14.663,,153.198,148.46,4.738,,152.56,149.776,2.784
365,62.43,43.824,18.606,,53.686,35.564,18.122,,365,281.375,283.971,-2.596,,281.289,295.338,-14.049,,365,91.369,77.074,14.295,,79.628,71.448,8.18,,153.653,148.362,5.291,,155.229,150.009,5.22
367,80.254,44.178,36.076,,64.178,45.618,18.56,,367,281.674,283.354,-1.68,,281.243,293.294,-12.051,,367,76.535,83.05,-6.515,,78.23,69.098,9.132,,153.572,148.385,5.187,,158.011,150.237,7.774
369,68.88,43.351,25.529,,45.82,41.732,4.088,,369,282.518,281.107,1.411,,281.331,292.419,-11.088,,369,83.529,82.982,0.547,,72.828,74.229,-1.401,,164.507,148.436,16.071,,165.725,150.566,15.159
371,65.761,43.558,22.203,,65.573,42.634,22.939,,371,281.609,281.242,0.367,,281.372,291.01,-9.638,,371,100.264,71.476,28.788,,97.157,67.234,29.923,,153.653,149.859,3.794,,161.3,151.053,10.247
373,58.596,36.894,21.702,,55.208,47.675,7.533,,373,284.334,281.031,3.303,,281.386,292.063,-10.677,,373,90.205,74.043,16.162,,85.115,76.318,8.797,,153.671,148.396,5.275,,147.901,150.695,-2.794
375,73.023,43.983,29.04,,60.521,47.377,13.144,,375,284.114,281.169,2.945,,281.295,294.409,-13.114,,375,90.72,85.29,5.43,,78.735,72.841,5.894,,191.684,148.346,43.338,,148.504,152.483,-3.979
377,76.68,51.249,25.431,,62.472,40.338,22.134,,377,284.506,281.384,3.122,,281.403,292.871,-11.468,,377,91.438,75.442,15.996,,75.946,75.862,0.084,,179.373,148.432,30.941,,147.758,150.224,-2.466
379,71.931,46.408,25.523,,66.664,43.433,23.231,,379,284.303,281.094,3.209,,281.385,293.476,-12.091,,379,93.791,78.053,15.738,,82.646,76.937,5.709,,234.955,148.386,86.569,,149.187,150.043,-0.856
381,79.032,45.517,33.515,,60.956,42.884,18.072,,381,284.199,281.095,3.104,,281.29,295.613,-14.323,,381,99.419,82.301,17.118,,89.046,71.733,17.313,,153.599,148.466,5.133,,147.836,149.206,-1.37
383,83.711,44.973,38.738,,75.201,44.882,30.319,,383,284.258,281.33,2.928,,281.287,292.362,-11.075,,383,95.921,76.078,19.843,,83.604,79.39,4.214,,153.518,148.356,5.162,,148.091,150.222,-2.131
385,73.167,42.628,30.539,,68.659,46.376,22.283,,385,284.29,338.049,-53.759,,399.214,295.517,103.697,,385,98.122,83.752,14.37,,78.508,80.157,-1.649,,153.718,148.706,5.012,,147.811,150.422,-2.611
387,84.268,45.575,38.693,,67.03,43.265,23.765,,387,284.274,281.25,3.024,,281.366,292.872,-11.506,,387,97.391,77.4,19.991,,86.238,72.484,13.754,,155.537,148.377,7.16,,147.788,148.84,-1.052
389,76.011,46.177,29.834,,69.619,33.39,36.229,,389,311.248,281.376,29.872,,281.375,294.671,-13.296,,389,83.467,74.268,9.199,,92.702,76.258,16.444,,153.511,148.462,5.049,,147.957,149.56,-1.603
391,70.989,50.053,20.936,,62.91,37.023,25.887,,391,284.297,295.952,-11.655,,281.473,291.683,-10.21,,391,94.915,70.564,24.351,,94.358,73.274,21.084,,168.166,148.973,19.193,,148.313,149.392,-1.079
393,75.241,49.173,26.068,,62.499,45.005,17.494,,393,284.305,282.78,1.525,,281.865,292.013,-10.148,,393,94.162,73.696,20.466,,83.903,74.368,9.535,,199.633,148.52,51.113,,242.359,149.203,93.156
395,73.202,47.424,25.778,,61.246,50.911,10.335,,395,284.232,284.561,-0.329,,282.442,292.563,-10.121,,395,104.273,82.758,21.515,,80.981,71.073,9.908,,154.009,148.32,5.689,,155.667,148.66,7.007
397,65.311,55.499,9.812,,67.03,53.607,13.423,,397,284.296,284.133,0.163,,281.378,298.611,-17.233,,397,102.471,86.428,16.043,,92.607,74.276,18.331,,185.375,148.269,37.106,,148.328,149.85,-1.522
399,72.106,56.831,15.275,,67.03,47.512,19.518,,399,284.312,281.311,3.001,,281.404,295.287,-13.883,,399,100.673,79.594,21.079,,92.868,86.833,6.035,,153.98,148.886,5.094,,223.368,148.81,74.558
401,84.487,53.987,30.5,,63.787,53.877,9.91,,401,284.267,281.199,3.068,,281.495,293.941,-12.446,,401,95.326,69.364,25.962,,79.991,79.694,0.297,,156.662,148.258,8.404,,148.362,149.287,-0.925
403,81.719,50.969,30.75,,75.207,58.232,16.975,,403,284.171,295.833,-11.662,,281.368,292.767,-11.399,,403,105.121,79.228,25.893,,78.68,65.296,13.384,,154.193,149.323,4.87,,148.311,148.781,-0.47
405,76.411,48.478,27.933,,80.843,40.307,40.536,,405,284.352,281.181,3.171,,281.301,293.558,-12.257,,405,89.795,81.161,8.634,,88.942,78.931,10.011,,210.452,148.519,61.933,,148.266,153.402,-5.136
407,90.177,53.941,36.236,,67.216,49.42,17.796,,407,284.578,281.156,3.422,,281.35,295.64,-14.29,,407,93.012,82.469,10.543,,92.91,78.227,14.683,,153.649,148.901,4.748,,148.394,148.373,0.021
409,91.811,54.258,37.553,,76.802,55.763,21.039,,409,293.545,300.734,-7.189,,301.551,292.716,8.835,,409,96.487,88.421,8.066,,96.849,80.554,16.295,,153.676,148.574,5.102,,198.281,148.339,49.942
411,81.193,47.95,33.243,,68.543,49.406,19.137,,411,286.527,291.485,-4.958,,281.438,296.5,-15.062,,411,104.511,78.167,26.344,,87.581,76.694,10.887,,153.401,149.336,4.065,,148.414,149.176,-0.762
413,84.822,49.096,35.726,,62.054,46.83,15.224,,413,284.277,281.258,3.019,,281.312,293.081,-11.769,,413,92.56,73.081,19.479,,72.304,83.452,-11.148,,150.855,147.9,2.955,,199.73,148.7,51.03
415,91.25,47.909,43.341,,78.252,47.508,30.744,,415,284.252,291.713,-7.461,,324.865,293.892,30.973,,415,90.199,79.337,10.862,,83.396,84.087,-0.691,,150.635,147.915,2.72,,159.724,148.487,11.237
417,87.187,45.618,41.569,,81.191,52.132,29.059,,417,284.218,308.297,-24.079,,281.432,293.371,-11.939,,417,87.772,84.021,3.751,,89.114,78.488,10.626,,151.74,148.339,3.401,,216.51,148.415,68.095
419,92.241,52.555,39.686,,83.603,47.913,35.69,,419,297.494,283.276,14.218,,330.249,291.835,38.414,,419,100.384,72.355,28.029,,90.088,82.547,7.541,,150.734,147.844,2.89,,168.191,148.347,19.844
421,90.961,64.526,26.435,,83.729,58.096,25.633,,421,284.365,290.697,-6.332,,288.188,296.801,-8.613,,421,93.406,88.171,5.235,,81.829,84.02,-2.191,,150.867,147.992,2.875,,148.997,148.415,0.582
423,86.304,52.935,33.369,,82.802,56.352,26.45,,423,284.304,282.611,1.693,,292.949,296.437,-3.488,,423,84.783,89.227,-4.444,,95.138,83.72,11.418,,150.729,148.583,2.146,,148.291,148.544,-0.253
425,96.102,64.412,31.69,,70.619,52.573,18.046,,425,287.512,282.556,4.956,,293.066,294.47,-1.404,,425,102.725,96.967,5.758,,94.402,78.06,16.342,,150.651,148.023,2.628,,148.585,148.264,0.321
427,88.319,58.345,29.974,,73.284,58.256,15.028,,427,284.274,281.851,2.423,,292.997,292.084,0.913,,427,98.965,91.59,7.375,,85.077,87.611,-2.534,,150.938,148.039,2.899,,205.882,148.375,57.507
429,94.297,58.161,36.136,,83.895,56.717,27.178,,429,284.327,282.136,2.191,,293.071,292.449,0.622,,429,101.011,85.304,15.707,,87.488,81.528,5.96,,150.965,147.846,3.119,,192.504,148.161,44.343
431,82.662,47.636,35.026,,83.001,60.305,22.696,,431,284.233,281.256,2.977,,307.171,298.171,9,,431,88.881,81.369,7.512,,88.014,76.627,11.387,,150.857,147.711,3.146,,203.512,147.895,55.617
433,81.66,59.841,21.819,,80.174,50.472,29.702,,433,284.291,300.215,-15.924,,345.628,293.305,52.323,,433,115.312,102.721,12.591,,92.19,88.105,4.085,,158.085,147.958,10.127,,195.724,148.065,47.659
435,87.18,60.912,26.268,,90.284,57.49,32.794,,435,284.453,281.707,2.746,,292.986,298.976,-5.99,,435,101.465,73.093,28.372,,81.629,88.546,-6.917,,150.906,148.503,2.403,,179.606,148.195,31.411
437,93.545,55.523,38.022,,82.863,56.38,26.483,,437,284.633,287.505,-2.872,,340.26,293.954,46.306,,437,101.882,77.044,24.838,,80.105,90.038,-9.933,,151.342,148.192,3.15,,148.034,148.702,-0.668
439,86.347,63.934,22.413,,87.646,64.313,23.333,,439,284.312,281.322,2.99,,298.821,292.619,6.202,,439,107.617,81.456,26.161,,83.979,77.231,6.748,,150.785,148.183,2.602,,147.841,149.12,-1.279
441,86.713,58.877,27.836,,91.619,64.727,26.892,,441,284.431,345.796,-61.365,,293.086,294.408,-1.322,,441,108.855,83.761,25.094,,103.301,88.539,14.762,,150.993,148.818,2.175,,296.474,148.718,147.756
443,97.999,63.849,34.15,,76.866,62.439,14.427,,443,288.177,281.188,6.989,,293.031,291.4,1.631,,443,128.172,103.65,24.522,,96.295,83.495,12.8,,150.961,148.011,2.95,,296.598,149.715,146.883
445,98.797,47.472,51.325,,84.176,50.824,33.352,,445,284.316,281.169,3.147,,292.971,294.455,-1.484,,445,106.773,109.673,-2.9,,96.457,113.331,-16.874,,151.594,148.571,3.023,,178.551,149.198,29.353
447,87.578,43.291,44.287,,78.666,47.667,30.999,,447,287.216,283.685,3.531,,292.975,297.353,-4.378,,447,114.306,92.682,21.624,,119.312,112.333,6.979,,152.037,148.084,3.953,,148.356,148.287,0.069
449,103.849,60.624,43.225,,81.307,56.048,25.259,,449,284.257,282.084,2.173,,293.042,296.495,-3.453,,449,132.981,130.347,2.634,,141.427,115.437,25.99,,151.666,149.527,2.139,,148.196,148.325,-0.129
451,97.215,63.271,33.944,,81.265,60.888,20.377,,451,285.561,281.219,4.342,,300.096,293.486,6.61,,451,145.885,131.81,14.075,,117.335,120.401,-3.066,,151.436,148.199,3.237,,236.437,147.969,88.468
453,98.125,56.97,41.155,,91.422,61.03,30.392,,453,284.239,303.182,-18.943,,292.997,295.902,-2.905,,453,152.014,122.711,29.303,,127.283,117.503,9.78,,151.462,148.416,3.046,,192.99,148.25,44.74
455,94.51,57.925,36.585,,83.542,61.001,22.541,,455,284.742,281.061,3.681,,293.55,296.807,-3.257,,455,140.137,130.114,10.023,,142.32,125.25,17.07,,182.78,149.231,33.549,,148.35,148.762,-0.412
457,98.823,61.633,37.19,,75.544,61.666,13.878,,457,299.454,281.105,18.349,,296.592,294.318,2.274,,457,136.02,130.818,5.202,,160.435,127.942,32.493,,175.943,148.901,27.042,,187.444,148.189,39.255
