Sun Mar 15 16:19:44 2015,v1large,v2large,diff_large(FRA),,v1small,v2small,diffsmall(FRA),,Sun Mar 15 01:40:33 2015,largev1,largev2,diff_large(ASIA),,small_v1,small_v2,diff_small(ASIA),,,large_v1,large_v2,difflarge(LOC),,Small_v1,Small_v2,diff_small(LOC),,largev1(CA),largev2(CA),difflargeCA,,smallv1CA,smallv2CA,diff
number_of_requests,mean_request,mean_request,,,mean_request,mean_request,,,number_of_requests,mean_request,mean_request,,,mean_request,mean_request,,,number_of_requests,mean_request,mean_request,,,mean_request,mean_request,,,mean_request,mean_request,,,mean_request,mean_request,
51,9.165,8.302,0.863,,8.894,7.785,1.109,,51,293.021,268.527,24.494,,289.944,281.074,8.87,,51,15.784,13.724,2.06,,14.705,13.785,0.92,,155.278,152.405,2.873,,145.99,148.222,-2.232
53,9.143,8.333,0.81,,8.746,8.14,0.606,,53,292.779,268.617,24.162,,290.066,281.099,8.967,,53,16.903,14.892,2.011,,15.574,14.848,0.726,,153.51,152.344,1.166,,145.842,148.846,-3.004
55,9.548,8.381,1.167,,9.187,8.095,1.092,,55,293.022,269.388,23.634,,290.195,281.263,8.932,,55,17.496,14.459,3.037,,15.508,15.021,0.487,,153.999,153.24,0.759,,145.785,148.363,-2.578
57,10.057,8.336,1.721,,10.245,8.472,1.773,,57,287.419,268.103,19.316,,290.098,280.892,9.206,,57,17.586,15.278,2.308,,16.781,15.881,0.9,,154.131,156.255,-2.124,,145.801,148.314,-2.513
59,9.332,8.263,1.069,,9.6,8.31,1.29,,59,281.326,268.258,13.068,,289.97,280.849,9.121,,59,19.005,15.978,3.027,,17.347,16.322,1.025,,155.032,156.872,-1.84,,145.76,148.069,-2.309
61,9.795,8.847,0.948,,9.514,8.261,1.253,,61,281.22,268.34,12.88,,290.172,281.102,9.07,,61,19.541,16.669,2.872,,17.744,15.947,1.797,,154.233,156.23,-1.997,,145.838,147.971,-2.133
63,9.813,8.547,1.266,,9.646,8.607,1.039,,63,281.475,268.205,13.27,,290.031,280.84,9.191,,63,19.376,18.093,1.283,,17.966,16.454,1.512,,154.023,156.454,-2.431,,145.83,148.108,-2.278
65,9.961,8.641,1.32,,9.222,8.416,0.806,,65,281.564,268.578,12.986,,299.063,281.118,17.945,,65,19.638,19.266,0.372,,18.399,17.741,0.658,,153.691,156.521,-2.83,,145.726,148.248,-2.522
67,10.165,9.008,1.157,,9.275,8.322,0.953,,67,281.162,268.586,12.576,,290.134,281.182,8.952,,67,18.659,18.781,-0.122,,19.215,17.709,1.506,,153.612,156.582,-2.97,,145.896,148.304,-2.408
69,10.293,8.952,1.341,,9.778,8.635,1.143,,69,281.332,268.304,13.028,,290.068,281,9.068,,69,20.098,20.144,-0.046,,19.3,18.151,1.149,,153.807,156.856,-3.049,,145.77,148.354,-2.584
71,10.012,9.125,0.887,,9.984,8.579,1.405,,71,281.145,268.566,12.579,,290.091,281.093,8.998,,71,19.504,20.204,-0.7,,20.927,18.665,2.262,,153.786,156.509,-2.723,,145.891,148.039,-2.148
73,11.299,8.562,2.737,,10.375,8.943,1.432,,73,281.617,268.455,13.162,,289.786,280.787,8.999,,73,21.448,20.906,0.542,,21.33,19.51,1.82,,153.875,157,-3.125,,145.703,148.065,-2.362
75,10.251,8.799,1.452,,10.49,8.822,1.668,,75,281.38,268.628,12.752,,289.924,281.06,8.864,,75,22.671,21.405,1.266,,21.968,19.501,2.467,,153.979,157.227,-3.248,,145.872,148.14,-2.268
77,11.096,9.663,1.433,,9.714,8.792,0.922,,77,281.393,268.319,13.074,,290.113,281.219,8.894,,77,22.971,22.826,0.145,,23.173,20.759,2.414,,153.944,157.052,-3.108,,145.639,147.964,-2.325
79,11.427,9.172,2.255,,10.22,8.916,1.304,,79,281.351,268.492,12.859,,290.126,280.815,9.311,,79,26.268,23.136,3.132,,21.001,20.749,0.252,,154.071,156.72,-2.649,,145.672,147.978,-2.306
81,10.363,9.465,0.898,,10.031,9.374,0.657,,81,281.492,268.452,13.04,,289.965,280.914,9.051,,81,26.945,24.2,2.745,,22.698,21.559,1.139,,153.96,156.999,-3.039,,146.061,148.469,-2.408
83,11.244,9.265,1.979,,10.829,8.564,2.265,,83,281.253,268.576,12.677,,290.114,281.211,8.903,,83,26.89,24.211,2.679,,32.174,21.953,10.221,,154.199,156.835,-2.636,,146.529,148.118,-1.589
85,11.431,9.677,1.754,,10.803,9.301,1.502,,85,281.525,268.639,12.886,,290.077,281.075,9.002,,85,28.215,24.365,3.85,,22.238,21.975,0.263,,154.889,156.881,-1.992,,146.179,148.529,-2.35
87,11.574,9.502,2.072,,10.304,9.397,0.907,,87,281.323,276.354,4.969,,289.982,280.946,9.036,,87,28.889,25.334,3.555,,24.747,23.002,1.745,,154.225,157.003,-2.778,,146.168,148.358,-2.19
89,11.852,9.411,2.441,,10.723,9.298,1.425,,89,281.457,268.503,12.954,,289.924,280.961,8.963,,89,29.615,23.883,5.732,,24.469,24.314,0.155,,154.352,156.886,-2.534,,146.385,148.019,-1.634
91,12.018,9.779,2.239,,10.615,9.046,1.569,,91,281.39,268.345,13.045,,290.099,280.886,9.213,,91,30.064,19.261,10.803,,26.677,25.051,1.626,,153.993,157.108,-3.115,,146.278,148.04,-1.762
93,12.217,10.886,1.331,,10.413,9.648,0.765,,93,281.491,273.747,7.744,,296.622,281.056,15.566,,93,30.29,23.482,6.808,,25.718,25.89,-0.172,,154.288,156.95,-2.662,,146.426,149.142,-2.716
