Sat Mar 14 09:58:09 2015
timestamp,number_of_requests,total_time_test,req_per_sec_v2,speed,traffic_total,traffic_header,traffic_data,min_request,max_request,mean_request,sd_request,sd_percent_request,succeeded_requests,succeeded_failed
1426327138,95,253.1100,524.70,22.62,228285,8265,216030,6.5018,55.5400,24.4680,12.5220,68.42,95,0
1426327140,97,255.9820,516.20,23.60,233091,8439,220578,7.8697,56.4630,26.0880,12.4550,67.01,97,0
1426327146,99,527.9510,376.80,88.63,237897,8613,225126,6.1091,55.4460,22.5390,12.1640,68.79,99,0
1426327148,101,178.8460,564.80,1.29,242703,8787,229674,9.2680,61.9790,27.9500,14.0570,71.09,101,0
1426327151,103,268.8550,518.90,24.25,247509,8961,234222,8.9400,61.2080,26.4710,13.0140,68.54,103,0
1426327152,105,183.7360,571.40,1.31,252315,9135,238770,9.4440,65.8060,27.8100,13.8290,71.33,105,0
1426327154,107,186.8960,572.70,1.31,257121,9309,243318,9.7090,67.9710,28.8430,14.2810,70.00,107,0
1426327157,109,194.9110,559.00,1.28,261927,9483,247866,10.6090,69.8430,30.9410,15.1230,71.47,109,0
1426327159,111,197.6270,561.00,1.29,266733,9657,252414,10.5060,72.8060,30.0900,14.9150,72.79,111,0
1426327161,113,198.0600,570.40,1.31,271539,9831,256962,9.8700,66.3540,30.6870,14.5170,65.31,113,0
1426327163,115,202.6820,566.80,1.30,276345,10005,261510,10.8590,70.5580,31.3310,15.4480,67.48,115,0
1426327165,117,206.3320,567.20,1.30,281151,10179,266058,11.6110,74.3750,31.4990,15.5430,68.20,117,0
1426327167,119,209.7780,567.80,1.30,285957,10353,270606,11.0200,75.3240,32.3670,16.1450,71.18,119,0
1426327170,121,217.5340,556.20,1.28,290763,10527,275154,11.7330,82.0610,34.2350,17.4890,70.58,121,0
1426327172,123,216.7530,567.50,1.30,295569,10701,279702,10.7270,76.6610,33.3570,16.3560,69.51,123,0
1426327175,125,296.8620,528.90,30.09,300375,10875,284250,9.8231,75.1930,33.4700,16.7040,68.64,125,0
1426327179,127,399.0550,479.10,54.97,305181,11049,288798,9.2280,74.5690,31.2230,15.6640,68.82,127,0
1426327182,129,224.0840,575.20,1.32,309987,11223,293346,11.8080,80.6830,34.3900,16.9790,72.33,129,0
1426327184,131,229.1940,571.20,1.31,314793,11397,297894,10.4630,85.8010,35.8560,17.4990,69.39,131,0
