Sat Mar 14 12:17:33 2015
timestamp,number_of_requests,total_time_test,req_per_sec_v2,speed,traffic_total,traffic_header,traffic_data,min_request,max_request,mean_request,sd_request,sd_percent_request,succeeded_requests,succeeded_failed
1426335453,1,9.1380,109.30,263.11,2453,131,2274,1.0794,1.0794,1.0794,0.0000,100.00,1,0
1426335457,3,367.8540,117.00,281.53,7359,393,6822,78.0181,357.8590,229.5280,130.6404,50.00,3,0
1426335457,5,14.5000,345.50,828.94,12265,655,11370,0.7852,2.1440,1.2563,0.5391,72.00,5,0
1426335457,7,17.7800,393.90,944.86,17171,917,15918,0.9713,3.2840,1.6300,0.7747,75.71,7,0
1426335458,9,21.4230,420.70,585.16,22077,1179,20466,1.0560,4.2770,1.9290,0.9378,78.89,9,0
1426335458,11,24.7340,445.10,200.57,26983,1441,25014,1.3233,4.4940,2.3980,0.8998,79.09,11,0
1426335458,13,27.2930,476.70,1.12,31889,1703,29562,1.5234,5.6720,2.7500,1.0826,76.92,13,0
1426335459,15,31.4210,477.90,1.12,36795,1965,34110,2.0992,4.8310,3.1810,0.7847,72.67,15,0
1426335459,17,36.0020,472.20,1.11,41701,2227,38658,2.2450,11.2660,4.6870,2.6310,77.06,17,0
1426335460,19,38.9960,485.70,1.14,46607,2489,43206,2.5500,11.8840,5.1400,2.8360,76.84,19,0
1426335460,21,42.2630,496.40,1.16,51513,2751,47754,2.8650,13.7280,5.5660,3.0630,80.47,21,0
1426335461,23,45.6850,503.10,1.18,56419,3013,52302,2.7830,16.1800,6.5420,3.8590,72.61,23,0
1426335462,25,47.1100,531.50,1.24,61325,3275,56850,2.4220,15.6350,6.4860,3.7530,76.40,25,0
1426335462,27,50.4470,536.20,1.25,66231,3537,61398,2.6330,17.4790,7.1520,4.3860,73.33,27,0
1426335463,29,54.7490,529.80,1.24,71137,3799,65946,3.3150,17.6820,7.8870,4.3540,71.38,29,0
1426335464,31,57.5130,538.60,1.26,76043,4061,70494,3.1330,20.5030,8.5880,5.0330,70.65,31,0
1426335464,33,62.2910,529.30,1.24,80949,4323,75042,3.6030,21.6890,9.1430,5.2000,72.73,33,0
1426335465,35,65.5530,533.60,1.25,85855,4585,79590,3.6450,23.3320,9.9100,5.7020,69.43,35,0
1426335466,37,66.8250,553.60,1.30,90761,4847,84138,3.3650,25.2690,10.0440,6.0920,72.70,37,0
1426335467,39,72.0070,542.20,1.27,95667,5109,88686,3.9050,26.3760,11.2780,6.7850,67.95,39,0
1426335468,41,75.3440,543.90,1.27,100573,5371,93234,4.0350,27.4360,11.4490,6.5570,73.41,41,0
1426335469,43,77.7240,552.90,1.29,105479,5633,97782,3.9270,31.8470,12.2400,7.0110,70.23,43,0
1426335470,45,81.2260,555.00,1.30,110385,5895,102330,3.5890,32.2010,12.2490,6.8820,70.67,45,0
1426335471,47,87.7440,535.80,1.25,115291,6157,106878,4.4920,35.1340,13.3690,7.6650,74.47,47,0
1426335472,49,87.5350,560.30,1.31,120197,6419,111426,4.1850,33.1520,13.2630,7.4600,68.98,49,0
1426335473,51,95.1050,536.20,1.26,125103,6681,115974,5.0170,35.4690,14.7050,8.1390,71.37,51,0
1426335474,53,98.4560,538.00,1.26,130009,6943,120522,5.8980,41.5400,15.5740,9.0030,72.64,53,0
1426335475,55,99.1050,555.10,1.30,134915,7205,125070,4.8680,41.0850,15.5080,8.5660,68.73,55,0
1426335476,57,105.9590,537.80,1.26,139821,7467,129618,5.7060,42.9020,16.7810,9.5080,71.40,57,0
1426335477,59,107.1750,550.80,1.29,144727,7729,134166,5.4520,41.0070,17.3470,9.5250,67.63,59,0
1426335479,61,111.5100,547.00,1.28,149633,7991,138714,6.4930,45.6960,17.7440,9.9290,75.08,61,0
1426335480,63,115.0540,547.30,1.28,154539,8253,143262,6.0770,43.7460,17.9660,9.6900,70.32,63,0
1426335481,65,118.0580,550.60,1.29,159445,8515,147810,6.4620,52.0730,18.3990,10.6500,78.15,65,0
1426335482,67,120.4010,556.30,1.30,164351,8777,152358,6.9750,54.7720,19.2150,10.4730,76.12,67,0
1426335484,69,122.6160,562.60,1.32,169257,9039,156906,6.5340,48.9570,19.3000,10.1230,68.70,69,0
1426335485,71,130.5560,543.60,1.27,174163,9301,161454,7.5510,52.2260,20.9270,10.9320,72.68,71,0
1426335487,73,132.7470,549.70,1.29,179069,9563,166002,7.0840,59.1180,21.3300,11.6450,72.19,73,0
1426335488,75,138.0240,543.70,1.27,183975,9825,170550,7.8890,67.2550,21.9680,12.4440,76.93,75,0
1426335490,77,140.1630,549.20,1.29,188881,10087,175098,8.4510,65.9190,23.1730,13.3250,73.90,77,0
1426335493,79,317.6240,464.20,37.92,193787,10349,179646,6.6710,58.0570,21.0010,12.1710,73.16,79,0
1426335495,81,142.3020,568.80,1.33,198693,10611,184194,7.0640,69.7380,22.6980,12.8540,72.10,81,0
1426335497,83,264.5470,502.70,16.55,203599,10873,188742,7.9520,182.8900,32.1740,39.1690,76.75,83,0
1426335501,85,330.7300,466.40,39.84,208505,11135,193290,7.0570,68.7060,22.2380,12.7300,74.35,85,0
1426335503,87,152.5360,570.00,1.33,213411,11397,197838,6.3760,75.4230,24.7470,14.3790,73.91,87,0
1426335505,89,240.7710,524.20,22.29,218317,11659,202386,7.0655,62.9880,24.4690,12.9850,71.35,89,0
1426335507,91,162.0140,561.70,1.31,223223,11921,206934,7.7790,70.7420,26.6770,14.0620,69.12,91,0
1426335510,93,253.7930,514.90,22.48,228129,12183,211482,7.8920,77.7030,25.7180,14.7430,73.66,93,0
1426335511,95,174.4590,544.30,1.27,233035,12445,216030,8.8100,84.6970,28.9570,15.4990,75.47,95,0
1426335513,97,177.0510,547.70,1.28,237941,12707,220578,9.5910,86.5070,28.8550,14.8020,75.88,97,0
1426335515,99,182.4660,542.20,1.27,242847,12969,225126,10.2780,79.3790,29.7780,15.2030,70.61,99,0
1426335517,101,202.3040,518.70,69.36,247753,13231,229674,10.3510,108.5320,30.2770,18.1880,78.91,101,0
1426335520,103,201.4970,521.20,83.38,252659,13493,234222,10.1890,107.9630,32.3840,19.5480,77.86,103,0
1426335522,105,192.2350,546.00,1.28,257565,13755,238770,10.9410,98.3120,32.1930,18.7710,76.76,105,0
1426335524,107,198.7330,538.30,1.26,262471,14017,243318,11.0960,82.4850,32.7880,16.1140,70.75,107,0
1426335526,109,198.5980,549.00,1.29,267377,14279,247866,10.1600,93.5110,32.0960,17.4900,76.05,109,0
1426335528,111,204.0230,543.80,1.27,272283,14541,252414,11.0370,88.9650,33.1240,16.8150,71.44,111,0
1426335531,113,294.2340,509.30,25.62,277189,14803,256962,9.8600,101.6290,31.4460,17.2730,75.22,113,0
1426335537,115,544.5470,386.30,104.78,282095,15065,261510,6.7422,106.7710,29.0020,18.7010,79.39,115,0
1426335542,117,554.4540,381.80,105.09,287001,15327,266058,8.3441,91.1300,28.0890,16.2250,76.41,117,0
1426335549,119,611.7460,346.00,142.76,291907,15589,270606,7.6100,226.8560,29.5470,26.2490,82.35,119,0
1426335552,121,339.9730,461.80,189.56,296813,15851,275154,11.3060,205.4350,38.1730,30.0340,81.08,121,0
1426335555,123,225.7320,544.50,1.27,301719,16113,279702,13.3430,110.4610,36.1130,18.7940,77.48,123,0
1426335557,125,229.1410,545.10,1.28,306625,16375,284250,13.0620,116.4910,37.4240,19.8010,75.12,125,0
1426335560,127,234.0950,542.30,1.27,311531,16637,288798,12.2740,106.7650,38.2580,19.8790,73.70,127,0
1426335562,129,233.0210,553.50,1.30,316437,16899,293346,12.6700,119.0910,38.2550,20.8450,75.35,129,0
1426335565,131,240.2690,544.90,1.28,321343,17161,297894,13.8410,110.5240,38.5940,20.5060,73.28,131,0
1426335568,133,302.3020,500.00,41.17,326249,17423,302442,14.2890,166.3030,42.2230,25.6170,75.49,133,0
1426335572,135,423.1000,463.90,58.05,331155,17685,306990,10.4300,103.6110,35.4810,19.1130,74.89,135,0
1426335579,137,667.4160,346.80,151.13,336061,17947,311538,7.4045,82.7130,30.1110,16.6090,71.97,137,0
1426335584,139,503.8930,431.50,91.72,340967,18209,316086,9.3755,127.8380,35.2470,20.8100,74.39,139,0
1426335589,141,509.6330,440.10,90.81,345873,18471,320634,7.4800,201.7470,36.4870,29.3300,76.60,141,0
1426335593,143,352.6490,503.60,30.45,350779,18733,325182,10.2111,119.2950,39.4050,21.0100,74.13,143,0
1426335596,145,264.8610,548.40,1.28,355685,18995,329730,12.1870,120.8570,42.5220,21.5710,68.62,145,0
1426335599,147,269.0180,546.50,1.28,360591,19257,334278,8.3558,137.8820,42.8300,23.3050,75.92,147,0
1426335601,149,271.9690,547.60,1.28,365497,19519,338826,1.8386,140.8230,42.9210,25.1510,77.32,149,0
1426335604,151,277.9630,543.00,1.27,370403,19781,343374,5.9763,149.8330,44.4630,25.4310,74.30,151,0
1426335607,153,280.1020,545.80,1.28,375309,20043,347922,3.5367,159.7790,43.3810,26.3000,76.47,153,0
1426335610,155,283.3920,546.80,1.28,380215,20305,352470,2.6789,160.5990,44.2570,26.0690,78.71,155,0
1426335616,157,518.2000,452.20,103.74,385121,20567,357018,3.2485,134.6060,37.6660,23.6060,77.26,157,0
1426335622,159,619.0800,402.40,135.08,390027,20829,361566,4.3968,131.8590,34.5360,21.2240,77.30,159,0
1426335629,161,655.1500,368.10,196.55,394933,21091,366114,4.8131,270.2580,40.0280,33.7970,82.11,161,0
1426335632,163,367.3640,516.60,38.74,399839,21353,370662,1.7696,142.9810,40.9070,24.9940,73.99,163,0
1426335636,165,327.1400,520.30,74.01,404745,21615,375210,1.3552,186.5790,42.6390,28.8860,78.06,165,0
1426335639,167,305.1060,547.10,1.28,409651,21877,379758,2.3465,163.9760,43.5180,28.0790,74.37,167,0
1426335642,169,308.4760,547.50,1.28,414557,22139,384306,1.6548,190.2000,44.7200,29.9240,77.75,169,0
1426335646,171,312.8510,546.20,1.28,419463,22401,388854,1.9579,173.4070,43.9850,26.5990,75.62,171,0
1426335649,173,314.0740,550.60,1.29,424369,22663,393402,1.3655,159.3270,45.4290,28.8870,75.14,173,0
1426335652,175,312.2480,560.10,1.31,429275,22925,397950,2.5191,196.5790,44.6770,30.7090,77.37,175,0
1426335657,177,488.9240,482.60,72.12,434181,23187,402498,1.9107,157.8590,39.9500,27.1700,77.74,177,0
1426335663,179,566.7380,426.30,204.17,439087,23449,407046,3.9969,236.5280,40.8360,31.0010,80.50,179,0
1426335668,181,457.4270,497.30,87.30,443993,23711,411594,3.5960,212.8870,43.1820,29.9480,77.13,181,0
1426335673,183,502.4940,467.00,75.95,448899,23973,416142,3.2180,162.0010,41.2710,27.0500,76.72,183,0
1426335677,185,365.7780,522.00,73.49,453805,24235,420690,3.9090,215.2030,44.3650,30.4370,79.89,185,0
1426335680,187,356.5780,527.80,99.15,458711,24497,425238,2.8610,223.1240,44.2810,33.0160,78.77,187,0
1426335684,189,344.8260,547.80,1.28,463617,24759,429786,3.0740,185.9510,46.5750,29.4350,73.07,189,0
1426335688,191,382.5340,514.40,73.71,468523,25021,434334,3.9460,209.8940,46.5960,32.6260,79.90,191,0
1426335694,193,599.3140,437.20,117.92,473429,25283,438882,4.2180,163.5760,42.7080,28.0190,76.17,193,0
1426335700,195,591.7120,446.70,120.99,478335,25545,443430,15.2680,173.2860,48.6900,28.9210,76.31,195,0
1426335705,197,472.1270,452.30,307.37,483241,25807,447978,15.9990,271.3060,60.9290,40.1790,81.42,197,0
1426335711,199,528.8570,479.70,79.29,488147,26069,452526,17.6550,160.0510,52.6170,28.4940,73.37,199,0
1426335714,201,368.4820,545.30,1.28,493053,26331,457074,20.3630,198.9370,61.1230,34.0170,76.97,201,0
