Sun Mar 15 01:40:33 2015,largev1,largev2,diff_large,,small_v1,small_v2,diff_small
number_of_requests,mean_request,mean_request,,,mean_request,mean_request,
231,293.094,289.91,3.184,,292.937,289.775,3.162
233,293.099,289.928,3.171,,293.159,293.102,0.057
235,292.999,289.884,3.115,,292.909,289.924,2.985
237,293.09,266.413,26.677,,293.061,289.842,3.219
239,293.032,266.31,26.722,,293.123,289.792,3.331
241,293.132,276.917,16.215,,288.25,289.853,-1.603
243,292.921,266.371,26.55,,281.309,281.096,0.213
245,293.072,266.022,27.05,,281.377,281.064,0.313
247,292.926,266.268,26.658,,281.247,281.262,-0.015
249,293.239,266.25,26.989,,281.184,281.236,-0.052
251,293.058,280.993,12.065,,281.29,291.914,-10.624
253,293.102,266.197,26.905,,281.254,287.174,-5.92
255,293.026,266.263,26.763,,281.324,281.285,0.039
257,292.953,266.368,26.585,,281.574,281.445,0.129
259,293.37,268.029,25.341,,325.634,281.083,44.551
261,293.14,281.076,12.064,,282.181,281.219,0.962
263,293.087,281.123,11.964,,281.299,281.142,0.157
265,292.937,281.302,11.635,,281.284,282.811,-1.527
267,293.196,281.194,12.002,,281.286,290.996,-9.71
269,292.974,289.093,3.881,,281.31,297.066,-15.756
271,293.006,281.377,11.629,,281.191,294.412,-13.221
273,293.094,281.392,11.702,,281.395,295.729,-14.334
275,293.089,281.139,11.95,,281.243,291.071,-9.828
277,293.122,281.355,11.767,,281.567,292.438,-10.871
279,292.977,281.091,11.886,,281.204,290.733,-9.529
281,293.115,281.165,11.95,,281.259,315.432,-34.173
283,293.041,281.08,11.961,,281.57,290.422,-8.852
285,293.037,281.266,11.771,,281.255,306.48,-25.225
287,293.018,281.122,11.896,,281.302,290.43,-9.128
289,293.08,281.136,11.944,,281.258,291.68,-10.422
291,293.104,294.348,-1.244,,281.199,291.124,-9.925
293,293.029,288.083,4.946,,349.014,290.418,58.596
295,293.052,281.351,11.701,,281.296,290.542,-9.246
297,293.054,281.39,11.664,,281.327,290.378,-9.051
299,293.061,296.69,-3.629,,281.291,290.621,-9.33
301,293.075,281.459,11.616,,281.13,290.215,-9.085
303,293.048,282.742,10.306,,281.452,298.497,-17.045
305,292.985,281.645,11.34,,281.335,290.599,-9.264
307,293.073,281.084,11.989,,281.366,291.272,-9.906
309,293.035,281.792,11.243,,281.268,292.489,-11.221
311,293.046,300.49,-7.444,,281.437,290.524,-9.087
313,293.165,281.61,11.555,,281.34,291.041,-9.701
315,293.111,293.257,-0.146,,281.292,291.27,-9.978
317,293.019,290.952,2.067,,281.146,290.201,-9.055
319,292.984,288.701,4.283,,281.291,290.997,-9.706
321,343.835,284.02,59.815,,281.342,290.175,-8.833
323,292.994,283.964,9.03,,299.586,292.967,6.619
325,293.043,283.942,9.101,,281.37,294.128,-12.758
327,290.728,284.03,6.698,,281.241,293.25,-12.009
329,281.412,284.015,-2.603,,281.348,294.891,-13.543
331,281.437,283.803,-2.366,,281.849,292.477,-10.628
333,281.463,283.912,-2.449,,281.261,307.986,-26.725
335,281.438,283.95,-2.512,,281.273,294.267,-12.994
337,281.394,283.94,-2.546,,281.261,294.555,-13.294
339,345.549,284.195,61.354,,281.281,293.742,-12.461
341,281.373,305.629,-24.256,,281.35,291.191,-9.841
343,281.422,284.214,-2.792,,281.299,296.499,-15.2
345,281.405,284.037,-2.632,,281.323,294.482,-13.159
347,281.538,283.993,-2.455,,281.353,305.756,-24.403
349,281.437,284.008,-2.571,,281.325,291.7,-10.375
351,281.367,283.827,-2.46,,281.256,294.9,-13.644
353,325.754,308.512,17.242,,281.32,291.877,-10.557
355,281.465,284.062,-2.597,,281.324,294.308,-12.984
357,281.382,330.243,-48.861,,281.403,291.796,-10.393
359,281.36,327.823,-46.463,,281.316,297.751,-16.435
361,281.442,284.03,-2.588,,281.314,296.248,-14.934
363,281.439,283.959,-2.52,,281.511,297.104,-15.593
365,281.375,283.971,-2.596,,281.289,295.338,-14.049
367,281.674,283.354,-1.68,,281.243,293.294,-12.051
369,282.518,281.107,1.411,,281.331,292.419,-11.088
371,281.609,281.242,0.367,,281.372,291.01,-9.638
373,284.334,281.031,3.303,,281.386,292.063,-10.677
375,284.114,281.169,2.945,,281.295,294.409,-13.114
377,284.506,281.384,3.122,,281.403,292.871,-11.468
379,284.303,281.094,3.209,,281.385,293.476,-12.091
381,284.199,281.095,3.104,,281.29,295.613,-14.323
383,284.258,281.33,2.928,,281.287,292.362,-11.075
385,284.29,338.049,-53.759,,399.214,295.517,103.697
387,284.274,281.25,3.024,,281.366,292.872,-11.506
389,311.248,281.376,29.872,,281.375,294.671,-13.296
391,284.297,295.952,-11.655,,281.473,291.683,-10.21
393,284.305,282.78,1.525,,281.865,292.013,-10.148
395,284.232,284.561,-0.329,,282.442,292.563,-10.121
397,284.296,284.133,0.163,,281.378,298.611,-17.233
399,284.312,281.311,3.001,,281.404,295.287,-13.883
401,284.267,281.199,3.068,,281.495,293.941,-12.446
403,284.171,295.833,-11.662,,281.368,292.767,-11.399
405,284.352,281.181,3.171,,281.301,293.558,-12.257
407,284.578,281.156,3.422,,281.35,295.64,-14.29
409,293.545,300.734,-7.189,,301.551,292.716,8.835
411,286.527,291.485,-4.958,,281.438,296.5,-15.062
413,284.277,281.258,3.019,,281.312,293.081,-11.769
415,284.252,291.713,-7.461,,324.865,293.892,30.973
417,284.218,308.297,-24.079,,281.432,293.371,-11.939
419,297.494,283.276,14.218,,330.249,291.835,38.414
421,284.365,290.697,-6.332,,288.188,296.801,-8.613
423,284.304,282.611,1.693,,292.949,296.437,-3.488
425,287.512,282.556,4.956,,293.066,294.47,-1.404
427,284.274,281.851,2.423,,292.997,292.084,0.913
429,284.327,282.136,2.191,,293.071,292.449,0.622
431,284.233,281.256,2.977,,307.171,298.171,9
433,284.291,300.215,-15.924,,345.628,293.305,52.323
435,284.453,281.707,2.746,,292.986,298.976,-5.99
437,284.633,287.505,-2.872,,340.26,293.954,46.306
439,284.312,281.322,2.99,,298.821,292.619,6.202
441,284.431,345.796,-61.365,,293.086,294.408,-1.322
443,288.177,281.188,6.989,,293.031,291.4,1.631
445,284.316,281.169,3.147,,292.971,294.455,-1.484
447,287.216,283.685,3.531,,292.975,297.353,-4.378
449,284.257,282.084,2.173,,293.042,296.495,-3.453
451,285.561,281.219,4.342,,300.096,293.486,6.61
453,284.239,303.182,-18.943,,292.997,295.902,-2.905
455,284.742,281.061,3.681,,293.55,296.807,-3.257
457,299.454,281.105,18.349,,296.592,294.318,2.274
459,284.365,281.097,3.268,,293.044,295.05,-2.006
461,299.671,281.162,18.509,,293.272,294.815,-1.543
463,284.315,281.128,3.187,,281.448,295.478,-14.03
465,285.923,282.233,3.69,,281.42,293.042,-11.622
467,284.424,281.593,2.831,,281.369,294.297,-12.928
469,284.505,284.024,0.481,,295.347,289.81,5.537
471,284.412,284.015,0.397,,281.366,288.52,-7.154
473,307.844,284.186,23.658,,281.396,283.5,-2.104
475,284.342,283.997,0.345,,316.921,284.835,32.086
477,283.646,284.098,-0.452,,281.332,285.246,-3.914
479,281.425,283.916,-2.491,,281.863,295.465,-13.602
481,286.381,284.217,2.164,,308.871,285.839,23.032
483,281.992,284.356,-2.364,,281.357,292.356,-10.999
485,281.43,284.27,-2.84,,311.802,291.647,20.155
487,281.465,284.001,-2.536,,302.217,286.899,15.318
489,281.56,284.086,-2.526,,281.465,286.102,-4.637
491,281.824,284.121,-2.297,,312.287,286.577,25.71
493,281.537,284.011,-2.474,,281.316,283.283,-1.967
495,318.438,284.077,34.361,,281.592,287.931,-6.339
497,281.863,289.864,-8.001,,281.257,283.262,-2.005
499,296.683,284.011,12.672,,281.314,285.339,-4.025
501,282.317,285.039,-2.722,,281.879,282.844,-0.965
503,313.482,284.615,28.867,,286.614,284.817,1.797
505,281.615,284.712,-3.097,,281.407,295.184,-13.777
507,281.828,293.341,-11.513,,303.966,288.57,15.396
509,281.532,284.528,-2.996,,281.388,294.535,-13.147
511,281.71,302.183,-20.473,,298.797,291.417,7.38
513,281.765,284.031,-2.266,,340.829,291.488,49.341
515,282.213,313.815,-31.602,,281.367,297.308,-15.941
517,281.486,294.287,-12.801,,281.34,292.2,-10.86
519,281.711,285.892,-4.181,,281.419,297.437,-16.018
521,281.626,300.735,-19.109,,331.454,299.461,31.993
523,282.893,284.229,-1.336,,296.493,292.944,3.549
525,323.371,292.868,30.503,,307.501,290.802,16.699
527,281.619,284.06,-2.441,,281.391,292.053,-10.662
529,392.781,284.375,108.406,,282.415,293.668,-11.253
531,286.935,284.071,2.864,,314.719,290.775,23.944
533,306.181,284.956,21.225,,281.35,293.362,-12.012
535,290.328,284.137,6.191,,283.146,295.02,-11.874
537,290.39,284.52,5.87,,287.618,290.905,-3.287
539,334.451,293.365,41.086,,281.638,294.101,-12.463
541,290.266,292.888,-2.622,,281.823,291.809,-9.986
543,290.585,292.854,-2.269,,282.498,294.607,-12.109
545,290.396,293.361,-2.965,,281.541,295.844,-14.303
547,317.999,301.033,16.966,,281.402,292.486,-11.084
549,290.296,292.967,-2.671,,328.513,293.101,35.412
