Sat Mar 14 10:43:54 2015
timestamp,number_of_requests,total_time_test,req_per_sec_v2,speed,traffic_total,traffic_header,traffic_data,min_request,max_request,mean_request,sd_request,sd_percent_request,succeeded_requests,succeeded_failed
1426329834,1,8.0410,123.80,291.94,2403,87,2274,0.5903,0.5903,0.5903,0.0000,100.00,1,0
1426329834,3,10.9860,274.00,644.25,7209,261,6822,0.4999,1.0526,0.7128,0.2444,50.00,3,0
1426329835,5,13.6230,364.60,856.65,12015,435,11370,0.5238,1.8460,1.0035,0.5363,62.00,5,0
1426329835,7,18.1600,386.30,907.55,16821,609,15918,1.1430,3.6370,1.7742,0.8784,75.71,7,0
1426329835,9,21.7500,414.30,867.29,21627,783,20466,1.5000,4.2610,2.1230,0.9019,76.67,9,0
1426329836,11,25.2300,436.40,595.73,26433,957,25014,1.6863,4.6470,2.4740,0.7852,81.82,11,0
1426329836,13,28.3770,458.60,305.56,31239,1131,29562,1.5473,5.3640,2.7440,1.0709,81.54,13,0
1426329836,15,32.0590,464.80,1.07,36045,1305,34110,2.1900,6.0890,3.4840,1.2011,78.67,15,0
1426329837,17,35.5410,478.40,1.10,40851,1479,38658,1.9012,9.5540,4.2570,2.0183,82.94,17,0
1426329837,19,39.2280,484.20,1.11,45657,1653,43206,2.5550,13.3000,5.3670,3.4260,79.47,19,0
1426329838,21,43.1910,486.30,1.11,50463,1827,47754,2.6476,14.3270,5.8330,3.6180,77.62,21,0
1426329839,23,45.8600,501.40,1.15,55269,2001,52302,2.5920,15.4860,6.0600,3.6230,76.96,23,0
1426329839,25,50.2970,497.40,1.14,60075,2175,56850,2.7610,16.4270,7.1870,4.1310,72.40,25,0
1426329840,27,52.6130,513.00,1.18,64881,2349,61398,2.8160,17.4870,7.5190,4.4620,72.59,27,0
1426329841,29,56.2600,515.00,1.18,69687,2523,65946,3.3970,18.7300,8.0460,4.4590,77.24,29,0
1426329841,31,59.0650,523.60,1.20,74493,2697,70494,3.2910,21.1710,8.4500,5.0410,78.06,31,0
1426329842,33,62.7720,525.30,1.20,79299,2871,75042,3.3630,22.4740,8.8540,5.4470,75.15,33,0
1426329843,35,65.9390,530.70,1.22,84105,3045,79590,3.4440,23.6870,9.5580,5.7300,74.86,35,0
1426329844,37,70.5040,524.70,1.20,88911,3219,84138,3.6520,26.2810,10.4910,6.0220,67.57,37,0
1426329845,39,74.5850,522.80,1.20,93717,3393,88686,4.5490,25.8120,10.9440,6.1380,71.79,39,0
1426329845,41,75.6210,541.70,1.24,98523,3567,93234,3.8450,26.5910,11.3430,6.6010,67.56,41,0
