Mon Mar 16 17:32:56 2015
timestamp,number_of_requests,total_time_test,req_per_sec_v2,speed,traffic_total,traffic_header,traffic_data,min_request,max_request,mean_request,sd_request,sd_percent_request,succeeded_requests,succeeded_failed
1426527176,1,8.0150,121.90,727.66,6093,87,5964,0.6241,0.6241,0.6241,0.0000,100.00,1,0
1426527177,3,10.8720,276.70,1.61,18279,261,17892,0.5475,1.1898,0.7864,0.2880,60.00,3,0
1426527177,5,13.4750,371.00,2.16,30465,435,29820,0.6161,2.4720,1.2040,0.7330,64.00,5,0
1426527177,7,17.4210,401.60,2.34,42651,609,41748,0.9206,3.9940,1.7220,1.0736,80.00,7,0
1426527177,9,21.3510,421.60,2.45,54837,783,53676,1.3071,4.8320,2.3080,1.1167,75.56,9,0
1426527178,11,24.6120,447.10,2.60,67023,957,65604,1.5865,3.4100,2.0210,0.5214,70.91,11,0
1426527178,13,31.6170,413.90,2.41,79209,1131,77532,1.8070,7.8380,3.5860,1.7775,77.69,13,0
1426527179,15,35.8510,422.20,2.45,91395,1305,89460,1.7057,8.3120,3.8160,1.9385,76.00,15,0
1426527179,17,37.5440,454.20,2.64,103581,1479,101388,1.4056,11.3380,4.2700,2.8620,74.71,17,0
1426527180,19,42.4800,448.70,2.61,115767,1653,113316,1.1523,12.6720,4.7830,3.0970,74.74,19,0
1426527180,21,46.6920,450.70,2.62,127953,1827,125244,1.3641,13.3300,5.3360,3.4510,71.90,21,0
1426527181,23,50.1290,459.50,2.67,140139,2001,137172,1.3161,15.8820,6.2540,4.1160,70.43,23,0
1426527182,25,53.1090,471.80,2.75,152325,2175,149100,0.9912,18.1490,7.0790,5.1100,67.60,25,0
1426527182,27,60.5890,446.10,2.60,164511,2349,161028,1.4838,16.5050,7.2920,4.2470,62.22,27,0
1426527183,29,59.9810,485.90,2.83,176697,2523,172956,2.6670,22.3400,8.4760,5.1320,71.03,29,0
1426527184,31,66.0280,474.00,2.76,188883,2697,184884,2.2870,23.2990,8.4820,5.1410,77.74,31,0
1426527185,33,68.3530,484.80,2.82,201069,2871,196812,2.8028,23.5560,8.7780,5.1710,72.73,33,0
1426527186,35,76.3130,460.30,2.68,213255,3045,208740,1.6452,24.7570,8.6380,5.5960,72.57,35,0
1426527187,37,79.9730,466.90,2.72,225441,3219,220668,1.3194,26.9170,9.4300,6.4050,73.51,37,0
1426527188,39,82.4470,474.60,2.76,237627,3393,232596,0.7519,25.6330,11.0090,6.8170,60.51,39,0
1426527189,41,87.2570,470.50,2.74,249813,3567,244524,0.8794,29.0580,11.8690,7.7540,62.93,41,0
1426527190,43,92.0890,467.70,2.72,261999,3741,256452,1.1247,29.5450,12.4470,7.7000,62.79,43,0
1426527191,45,92.4750,487.40,2.74,274185,3915,268380,1.7257,26.8290,12.6420,6.6210,63.78,45,0
1426527192,47,98.6200,476.50,2.77,286371,4089,280308,1.7551,31.3760,13.7830,8.1550,63.40,47,0
1426527193,49,104.5340,469.30,2.73,298557,4263,292236,1.2579,33.9190,14.6050,8.9000,64.90,49,0
