Mon Mar 16 17:32:54 2015
timestamp,number_of_requests,total_time_test,req_per_sec_v2,speed,traffic_total,traffic_header,traffic_data,min_request,max_request,mean_request,sd_request,sd_percent_request,succeeded_requests,succeeded_failed
1426527252,95,198.6730,485.40,2.85,583680,12540,566580,6.8170,82.1630,28.6480,14.7090,73.47,95,0
1426527254,97,215.7210,456.80,2.68,595968,12804,578508,4.4740,97.3450,26.7960,17.0100,77.83,97,0
1426527256,99,207.6170,482.00,2.83,608256,13068,590436,5.4890,108.2480,28.2860,17.0940,75.66,99,0
1426527259,101,308.1510,415.90,60.35,620544,13332,602364,3.7908,121.4820,26.8630,20.9450,81.78,101,0
1426527262,103,220.3180,472.20,2.77,632832,13596,614292,4.8083,123.7830,28.7430,20.8650,84.08,103,0
1426527265,105,328.2660,392.70,63.07,645120,13860,626220,2.8480,137.8850,29.7680,23.4180,83.43,105,0
1426527268,107,250.3370,431.60,2.53,657408,14124,638148,2.7987,126.7980,25.7170,19.5500,85.23,107,0
1426527270,109,241.6560,457.70,2.69,669696,14388,650076,8.0816,143.0510,34.7980,20.7410,81.47,109,0
1426527273,111,258.2330,430.40,2.52,681984,14652,662004,4.7070,147.8680,32.7440,21.9560,80.36,111,0
1426527276,113,291.0960,402.60,2.36,694272,14916,673932,10.5570,155.5960,40.9290,25.0280,81.68,113,0
1426527279,115,277.7940,416.70,2.35,706560,15180,685860,5.5420,174.7840,38.8450,25.3510,82.17,115,0
1426527284,117,472.6260,363.70,112.22,718848,15444,697788,4.0700,348.1100,45.3730,62.8920,87.18,117,0
1426527287,119,277.2570,430.00,2.52,731136,15708,709716,2.9849,141.2930,35.1260,23.4300,78.82,119,0
1426527290,121,291.7100,418.80,2.46,743424,15972,721644,3.9000,166.2010,37.1980,27.2370,79.59,121,0
1426527295,123,517.8910,372.40,114.76,755712,16236,733572,7.6782,359.9530,41.2390,57.0310,85.45,123,0
1426527299,125,401.1270,398.60,169.09,768000,16500,745500,3.9205,261.3910,37.8550,38.5660,83.20,125,0
1426527302,127,298.5540,426.60,2.50,780288,16764,757428,4.8120,183.5390,35.6280,29.9580,84.57,127,0
1426527306,129,356.5160,398.00,2.34,792576,17028,769356,6.3952,180.6140,39.2820,29.0840,80.16,129,0
1426527310,131,400.0440,377.60,99.50,804864,17292,781284,5.4590,238.8440,37.0290,31.9970,84.58,131,0
1426527315,133,420.2460,355.50,88.23,817152,17556,793212,4.4200,291.9540,46.1750,48.1210,88.72,133,0
1426527318,135,303.8310,446.70,2.62,829440,17820,805140,4.0600,185.8450,41.6250,33.5830,83.33,135,0
1426527321,137,321.2670,430.10,2.52,841728,18084,817068,3.4790,187.5620,45.7810,34.8120,80.87,137,0
1426527325,139,350.0750,400.00,2.35,854016,18348,828996,6.2520,228.9070,46.3950,38.8740,82.30,139,0
1426527328,141,337.4290,417.70,2.45,866304,18612,840924,3.4060,194.1060,43.8630,34.8970,81.63,141,0
1426527332,143,329.5930,434.30,2.55,878592,18876,852852,5.2761,169.3120,40.0310,26.8320,78.60,143,0
1426527338,145,563.6250,353.20,144.03,890880,19140,864780,4.5290,396.5080,49.7440,60.6290,84.62,145,0
1426527342,147,412.9410,440.60,68.48,903168,19404,876708,5.5595,280.0040,47.0450,41.9890,81.02,147,0
1426527348,149,592.2520,342.70,136.84,915456,19668,888636,3.1663,401.8430,53.6500,62.9930,85.30,149,0
1426527352,151,353.0630,429.70,2.52,927744,19932,900564,5.5558,234.1070,51.0810,39.7540,81.92,151,0
1426527355,153,356.9600,428.90,2.52,940032,20196,912492,4.2860,210.7870,53.1930,39.8920,77.52,153,0
1426527361,155,579.7960,359.60,134.60,952320,20460,924420,4.8740,397.9080,47.4290,47.8860,84.84,155,0
1426527369,157,718.0910,324.50,210.23,964608,20724,936348,3.2768,517.4030,55.0420,82.9650,85.35,157,0
1426527376,159,674.6200,361.20,103.13,976896,20988,948276,2.4314,495.5540,58.0790,82.7310,84.78,159,0
1426527383,161,692.5200,341.90,215.10,989184,21252,960204,5.4270,463.1730,58.0400,87.2930,90.12,161,0
1426527386,163,343.0600,480.20,2.82,1001472,21516,972132,4.0952,209.3500,44.7470,30.9950,83.56,163,0
1426527390,165,392.6670,420.80,2.47,1013760,21780,984060,4.6180,244.4900,56.4670,46.9860,81.45,165,0
1426527395,167,493.9870,407.80,67.91,1026048,22044,995988,4.2300,339.7880,52.8940,49.7350,84.01,167,0
1426527401,169,500.7230,381.80,97.66,1038336,22308,1007916,3.7160,345.2500,60.6660,62.6370,83.49,169,0
1426527407,171,582.6860,366.50,55.77,1050624,22572,1019844,4.5887,404.6930,64.7240,76.3220,84.32,171,0
1426527411,173,439.2980,437.60,104.06,1062912,22836,1031772,3.2890,288.5890,50.1160,43.3500,83.18,173,0
1426527415,175,378.1450,465.90,2.73,1075200,23100,1043700,4.4935,229.4680,58.1310,44.6930,76.69,175,0
1426527421,177,528.8650,390.80,104.44,1087488,23364,1055628,3.8932,287.2080,50.7550,48.3310,85.54,177,0
1426527425,179,478.4670,399.60,2.25,1099776,23628,1067556,4.6080,304.0930,64.0360,55.8650,80.61,179,0
1426527431,181,583.7160,410.60,52.68,1112064,23892,1079484,5.0213,454.9060,68.0150,82.7410,83.98,181,0
